kalite;marka;en;mevcut_stok
AKRİLİK KUŞE;UPM;185;19000
AKRİLİK KUŞE;UPM;190;53900
AKRİLİK KUŞE;AVERY;200;0
AKRİLİK KUŞE;UPM;200;53270
AKRİLİK KUŞE;AVERY;210;0
AKRİLİK KUŞE;UPM;210;69900
AKRİLİK KUŞE;UPM;215;0
AKRİLİK KUŞE;FRİMPEKS;220;1000
AKRİLİK KUŞE;UPM;220;52040
AKRİLİK KUŞE;AVERY;230;0
AKRİLİK KUŞE;BOA;230;16000
AKRİLİK KUŞE;UPM;230;15840
AKRİLİK KUŞE;UPM;240;87000
AKRİLİK KUŞE;FRİMPEKS;240;66000
AKRİLİK KUŞE;UPM;250;35080
AKRİLİK KUŞE;UPM;260;26300
AKRİLİK KUŞE;UPM;270;50600
AKRİLİK KUŞE;FRİMPEKS;270;27000
AKRİLİK KUŞE;BOA;270;12000
AKRİLİK KUŞE;FRİMPEKS;280;0
AKRİLİK KUŞE;UPM;280;130500
AKRİLİK KUŞE;BOA;280;30710
AKRİLİK KUŞE;UPM;290;65340
AKRİLİK KUŞE;BOA;290;20130
AKRİLİK KUŞE;FRİMPEKS;300;0
AKRİLİK KUŞE;BOA;300;12140
AKRİLİK KUŞE;UPM;300;62550
AKRİLİK KUŞE;UPM;310;9370
AKRİLİK KUŞE HONEY PERGAMİN;FRİMPEKS;310;9000
AKRİLİK KUŞE;UPM;320;18000
AKRİLİK KUŞE;AVERY;320;0
AKRİLİK KUŞE;UPM;330;48000
AKRİLİK KUŞE;UPM;340;30000
AKRİLİK KUŞE;UPM;350;0
AKRİLİK KUŞE;UPM;370;8000
AKRİLİK KUŞE;UPM;383;0
AKRİLİK KUŞE;BOA;385;12000
P.T. AKRİLİK KUŞE;AVERY;166;1500
P.T. AKRİLİK KUŞE;AVERY;185;1500
P.T. AKRİLİK KUŞE;UPM;250;500
P.T. AKRİLİK KUŞE;;300;2000
HOTMELT KUŞE;AVERY;180;17000
HOTMELT KUŞE;AVERY;190;36000
HOTMELT KUŞE;AVERY;200;79000
HOTMELT KUŞE;AVERY;210;25070
HOTMELT KUŞE;AVERY;220;21000
HOTMELT KUŞE;AVERY;230;45000
HOTMELT KUŞE;AVERY;240;27865
HOTMELT KUŞE;AVERY;250;24000
HOTMELT KUŞE;AVERY;260;23930
HOTMELT KUŞE;UPM;275;0
HOTMELT KUŞE;AVERY;275;49915
HOTMELT KUŞE;AVERY;280;12000
HOTMELT KUŞE;AVERY;290;41130
HOTMELT KUŞE;AVERY;300;41700
HOTMELT KUŞE;AVERY;310;18000
HOTMELT KUŞE;AVERY;320;40280
HOTMELT KUŞE;AVERY;330;42000
HOTMELT KUŞE;AVERY;1000;0
PP AKRİLİK OPAK;FRİMPEKS;175;6000
PP AKRİLİK OPAK;AVERY;175;0
PP AKRİLİK OPAK;UPM;175;55400
PP AKRİLİK OPAK;UPM;190;54000
PP AKRİLİK OPAK;AVERY;190;8385
PP AKRİLİK OPAK;AVERY;200;0
PP AKRİLİK OPAK;UPM;200;145330
PP AKRİLİK OPAK;AVERY;205;0
PP AKRİLİK OPAK;UPM;205;58800
PP AKRİLİK OPAK;UPM;210;102000
PP AKRİLİK OPAK;AVERY;215;15000
PP AKRİLİK OPAK;UPM;215;52090
PP AKRİLİK OPAK;AVERY;220;6200
PP AKRİLİK OPAK;UPM;220;60000
PP AKRİLİK OPAK;AVERY;230;15000
PP AKRİLİK OPAK;UPM;230;144590
PP AKRİLİK OPAK;AVERY;235;18000
PP AKRİLİK OPAK;UPM;235;136960
PP AKRİLİK OPAK;UPM;240;57670
PP AKRİLİK OPAK;FRİMPEKS;240;6000
PP AKRİLİK OPAK;UPM;250;88500
PP AKRİLİK OPAK;AVERY;255;18000
PP AKRİLİK OPAK;UPM;255;45805
PP AKRİLİK OPAK;AVERY;260;35000
PP AKRİLİK OPAK;UPM;260;62675
PP AKRİLİK OPAK;AVERY;265;0
PP AKRİLİK OPAK;UPM;265;98825
PP AKRİLİK OPAK;AVERY;270;0
PP AKRİLİK OPAK;UPM;270;46840
PP AKRİLİK OPAK;AVERY;280;0
PP AKRİLİK OPAK;UPM;280;118085
PP AKRİLİK OPAK;FRİMPEKS;280;9000
PP AKRİLİK OPAK;UPM;285;40330
PP AKRİLİK OPAK;AVERY;290;24000
PP AKRİLİK OPAK;UPM;290;103110
PP AKRİLİK OPAK;UPM;300;140530
PP AKRİLİK OPAK;FRİMPEKS;300;9000
PP AKRİLİK OPAK;AVERY;305;0
PP AKRİLİK OPAK;UPM;305;2280
PP AKRİLİK OPAK;AVERY;310;0
PP AKRİLİK OPAK;UPM;310;65375
PP AKRİLİK OPAK;AVERY;320;0
PP AKRİLİK OPAK;UPM;320;90190
PP AKRİLİK OPAK;AVERY;330;0
PP AKRİLİK OPAK;UPM;330;46040
PP AKRİLİK OPAK;UPM;1000;12000
PP AKRİLİK LİGHT OPAK;UPM;255;2000
PP AKRİLİK LİGHT OPAK;UPM;384;0
PP METALİZE AVRUPA;UPM;190;0
PP METALİZE;UPM;190;72150
PP METALİZE;AVERY;200;0
PP METALİZE;FRIMPEKS;200;6000
PP METALİZE;UPM;200;82070
PP METALİZE;AVERY;210;0
PP METALİZE;UPM;210;11900
PP METALİZE AVRUPA;UPM;215;0
PP METALİZE;UPM;215;30385
PP METALİZE AVRUPA;UPM;225;14000
PP METALİZE;UPM;225;29000
PP METALİZE AVRUPA;UPM;230;0
PP METALİZE;UPM;230;34805
PP METALİZE;FRIMPEKS;230;0
PP METALİZE;UPM;235;29513
PP METALİZE;UPM;245;39065
PP METALİZE;FRIMPEKS;250;3000
PP METALİZE AVRUPA;UPM;250;0
PP METALİZE;UPM;250;60510
PP METALİZE;AVERY;250;8000
PP METALİZE;UPM;260;104340
PP METALİZE;FRIMPEKS;275;6000
PP METALİZE;AVERY;275;6000
PP METALİZE;UPM;275;57500
PP METALİZE;UPM;280;16000
PP METALİZE;AVERY;285;4000
PP METALİZE;FRIMPEKS;285;6000
PP METALİZE;UPM;285;113400
PP METALİZE;AVERY;290;15540
PP METALİZE;UPM;290;72000
PP METALİZE;FRIMPEKS;290;16000
PP METALİZE;AVERY;300;24000
PP METALİZE;UPM;300;109380
PP METALİZE;AVERY;310;0
PP METALİZE;UPM;310;31390
PP METALİZE;UPM;315;64000
PP METALİZE;FRIMPEKS;320;9000
PP METALİZE;AVERY;320;1260
PP METALİZE;UPM;320;90220
PP METALİZE AVRUPA;UPM;330;6000
PP METALİZE;UPM;330;19000
PP METALİZE;FRIMPEKS;355;1000
PP METALİZE;UPM;355;30000
PP METALİZE;UPM;1000;30000
METALİZE KUŞE;FRİMPEKS;170;1500
METALİZE KUŞE;AVERY;230;1000
METALİZE KUŞE;AVERY;310;1000
METALİZE KUŞE;AVERY;360;1000
METALİZE KUŞE;AVERY;1000;1000
P.T.PP METALİZE;BOA;263;3000
P.T.PP METALİZE;BOA;266;3000
P.T.PP METALİZE;BOA;285;6000
PP ŞEFFAF;UPM;175;17500
PP ŞEFFAF;AVERY;200;0
PP ŞEFFAF;UPM;200;8700
PP ŞEFFAF;UPM;210;13000
PP ŞEFFAF;UPM;230;64740
PP ŞEFFAF;UPM;245;75000
PP ŞEFFAF;UPM;250;13520
PP ŞEFFAF;UPM;260;0
PP ŞEFFAF;UPM;265;0
PP ŞEFFAF;UPM;275;59570
PP ŞEFFAF;UPM;285;0
PP ŞEFFAF;UPM;300;730
PP ŞEFFAF;UPM;320;5000
PP ŞEFFAF;UPM;1000;2000
PE ŞEFFAF;AVERY;310;24000
PE ŞEFFAF;AVERY;330;12000
PE ŞEFFAF;HİSAR;333;0
PE ŞEFFAF;AVERY;380;1500
PE ŞEFFAF;AVERY;1000;6000
PE ŞEFFAF;HİSAR;1000;0
NONPERM ŞEFFAF;;1000;1000
BİO PP ŞEFFAF;UPM;250;0
BİO PP ŞEFFAF;UPM;300;0
PP ŞEFFAF ISLAK MENDİL 90 MİCRON;;116;2000
PP ŞEFFAF ISLAK MENDİL 90 MİCRON;;221;1400
PE OPAK S477;AVERY;175;12000
PE OPAK RP 77;UPM;175;28765
PE OPAK S477;AVERY;190;0
PE OPAK RP 77;UPM;190;21160
PE OPAK RP 77;BOA;190;2000
PE OPAK RP 77;UPM;200;73000
PE OPAK RP 77;BOA;200;4000
PE OPAK RP 77;UPM;205;29000
PE OPAK S477;AVERY;210;0
PE OPAK RP 77;UPM;210;29583
PE OPAK S477;AVERY;220;0
PE OPAK RP 77;UPM;220;35830
PE OPAK RP 77;BOA;220;6000
PE OPAK RP 77;UPM;230;26000
PE OPAK S477;AVERY;240;8770
PE OPAK RP 77;UPM;240;20000
PE OPAK RP 77;BOA;240;4000
PE OPAK S477;AVERY;250;0
PE OPAK RP 77;UPM;250;22690
PE OPAK RP 77;BOA;250;2000
PE OPAK S477;AVERY;260;0
PE OPAK RP 77;UPM;260;21030
PE OPAK RP 77;BOA;260;2000
PE OPAK RP 77;UPM;270;26000
PE OPAK RP 77;BOA;270;4000
PE OPAK S477;AVERY;280;0
PE OPAK RP 77;UPM;280;25320
PE OPAK S477;AVERY;290;0
PE OPAK RP 77;UPM;290;26000
PE OPAK RP 77;BOA;290;4000
PE OPAK RP 77;BOA;300;0
PE OPAK S477;AVERY;300;6000
PE OPAK RP 77;UPM;300;25070
PE OPAK S477;AVERY;310;0
PE OPAK RP 77;UPM;310;20500
PE OPAK RP 77;BOA;320;2000
PE OPAK S477;AVERY;320;7825
PE OPAK RP 77;UPM;320;21125
PE OPAK S477;AVERY;330;0
PE OPAK RP 77;UPM;330;19000
PE OPAK S477;AVERY;1000;0
ECO THERMAL HOTMELT;UPM;200;8000
ECO THERMAL HOTMELT;UPM;220;20000
ECO THERMAL HOTMELT;UPM;230;3500
ECO THERMAL HOTMELT;UPM;260;17350
ECO THERMAL HOTMELT;UPM;265;1000
ECO THERMAL HOTMELT;UPM;275;15820
ECO THERMAL HOTMELT;AVERY;275;0
ECO THERMAL HOTMELT;UPM;300;16000
ECO THERMAL HOTMELT;UPM;320;7600
ECO THERMAL HOTMELT;UPM;625;0
ECO THERMAL HOTMELT;UPM;1000;4000
ULTRA CLEAR;AVERY;110;7500
ULTRA CLEAR;UPM;120;4000
ULTRA CLEAR;UPM;190;1600
ULTRA CLEAR;AVERY;200;0
ULTRA CLEAR;UPM;200;47060
ULTRA CLEAR;AVERY;202;0
ULTRA CLEAR;UPM;230;10000
ULTRA CLEAR;UPM;245;0
ULTRA CLEAR;UPM;250;26830
ULTRA CLEAR;AVERY;260;0
ULTRA CLEAR;AVERY;265;0
ULTRA CLEAR;UPM;270;0
ULTRA CLEAR;UPM;280;12000
ULTRA CLEAR;UPM;300;0
ULTRA CLEAR;AVERY;320;0
ULTRA CLEAR;UPM;320;29500
ULTRA CLEAR;UPM;385;0
ULTRA CLEAR;AVERY;480;900
ULTRA CLEAR;UPM;1000;13000
ULTRA CLEAR;AVERY;1000;0
MAT OPAK;;800;1000
MAT OPAK;UPM;1000;6000
HOTMELT OPAK;AVERY;180;1000
HOTMELT OPAK;AVERY;190;1000
HOTMELT OPAK;AVERY;200;24000
HOTMELT OPAK;AVERY;240;0
HOTMELT OPAK;AVERY;250;0
HOTMELT OPAK;AVERY;260;500
HOTMELT OPAK;FRİMPEKS;260;0
HOTMELT OPAK;AVERY;265;0
HOTMELT OPAK;AVERY;270;0
HOTMELT OPAK;AVERY;275;0
HOTMELT OPAK;AVERY;280;4500
HOTMELT OPAK;FRİMPEKS;280;0
HOTMELT OPAK;AVERY;290;6000
